business_name,p_id,item_count
Children's Heathcare of Atlanta,WHMSK,5
Children's Heathcare of Atlanta,BLMSK,220
Children's Heathcare of Atlanta,WHRES,280
Children's Heathcare of Atlanta,CLSHD,100
Children's Heathcare of Atlanta,GRGOG,780
Children's Heathcare of Atlanta,ORGOG,100
Children's Heathcare of Atlanta,BLSHC,460
Children's Heathcare of Atlanta,BLHOD,100
Children's Heathcare of Atlanta,BLGWN,80
Children's Heathcare of Atlanta,GRSHC,5
Children's Heathcare of Atlanta,WHSTE,330
Children's Heathcare of Atlanta,BKGLO,410
Piedmont Hospital,BLSHC,3000
Piedmont Hospital,BLHOD,3000
Piedmont Hospital,BLGWN,420
Piedmont Hospital,GRSHC,740
Piedmont Hospital,GRHOD,560
Piedmont Hospital,GRGWN,840
Piedmont Hospital,SISTE,460
Piedmont Hospital,BKGLO,4210
Northside Hospital,WHRES,110
Northside Hospital,YLRES,170
Northside Hospital,ORRES,350
Northside Hospital,CLSHD,410
Northside Hospital,GRGOG,1
Northside Hospital,ORGOG,100
Emory Midtown,WHMSK,80
Emory Midtown,BLMSK,210
Emory Midtown,RDMSK,320
Emory Midtown,GRMSK,40
Emory Midtown,WHRES,760
Emory Midtown,YLRES,140
Emory Midtown,ORRES,20
Emory Midtown,CLSHD,50
Emory Midtown,GRGOG,70
Emory Midtown,ORGOG,320
Emory Midtown,WHGOG,140
Emory Midtown,BKGOG,210
Emory Midtown,BLSHC,630
Grady Hospital,BLHOD,970
Grady Hospital,BLGWN,310
Grady Hospital,GRSHC,340
Grady Hospital,GRHOD,570
Grady Hospital,GRGWN,10
Grady Hospital,GYSHC,20
Grady Hospital,GYHOD,280
Grady Hospital,GYGWN,240
Grady Hospital,WHSHC,180
Grady Hospital,WHHOD,140
Grady Hospital,WHGWN,150
Grady Hospital,BKSTE,210
Grady Hospital,WHSTE,170
Grady Hospital,SISTE,180
Grady Hospital,BKGLO,70
Grady Hospital,WHGLO,140
Grady Hospital,GRGLO,80
PPE Empire,WHMSK,850
PPE Empire,BLMSK,1320
PPE Empire,RDMSK,540
PPE Empire,GRMSK,870
PPE Empire,WHRES,500
PPE Empire,ORRES,320
"Buy Personal Protective Equipment, Inc",BLSHC,900
"Buy Personal Protective Equipment, Inc",BLGWN,820
"Buy Personal Protective Equipment, Inc",GRSHC,700
"Buy Personal Protective Equipment, Inc",GRHOD,770
"Buy Personal Protective Equipment, Inc",GYSHC,250
"Buy Personal Protective Equipment, Inc",GYHOD,350
"Buy Personal Protective Equipment, Inc",GYGWN,850
"Buy Personal Protective Equipment, Inc",WHSHC,860
"Buy Personal Protective Equipment, Inc",WHHOD,700
"Buy Personal Protective Equipment, Inc",WHGWN,500
Healthcare Supplies of Atlanta,ORGOG,860
Healthcare Supplies of Atlanta,RDMSK,370
Healthcare Supplies of Atlanta,CLSHD,990
Healthcare Supplies of Atlanta,BLSHC,1370
Healthcare Supplies of Atlanta,BLHOD,210
Healthcare Supplies of Atlanta,BLGWN,680
Healthcare Supplies of Atlanta,YLRES,890
Healthcare Supplies of Atlanta,WHMSK,980
Healthcare Supplies of Atlanta,BLMSK,5000
Georgia Tech Protection Lab,CLSHD,620
Georgia Tech Protection Lab,ORGOG,970
Georgia Tech Protection Lab,WHGOG,940
Georgia Tech Protection Lab,BKGOG,840
Georgia Tech Protection Lab,GYSHC,610
Georgia Tech Protection Lab,GYHOD,940
Georgia Tech Protection Lab,GYGWN,700
Marietta Mask Production Company,GRSHC,970
Marietta Mask Production Company,GRHOD,750
Marietta Mask Production Company,GRMSK,750
Marietta Mask Production Company,GRGOG,320
S&J Corporation,BKSTE,200
S&J Corporation,WHSTE,860
S&J Corporation,WHGLO,500
S&J Corporation,GRGLO,420
S&J Corporation,BKGLO,740
